layers,neurons,activation,epochs,lr,batch_size,accuracy
1,4,Softmax,250,10.0,512,0.9621749408983451
1,4,Softmax,250,1.0,16,0.6808510638297872
1,4,Softmax,250,1.0,32,0.9810874704491725
1,4,Softmax,250,1.0,64,0.9787234042553191
1,4,Softmax,250,1.0,128,0.9858156028368794
1,4,Softmax,250,1.0,256,0.9787234042553191
1,4,Softmax,250,1.0,512,0.983451536643026
1,4,Softmax,250,0.1,16,0.9763593380614657
1,4,Softmax,250,0.1,32,0.9787234042553191
1,4,Softmax,250,0.1,64,0.9810874704491725
1,4,Softmax,250,0.1,128,0.9739952718676123
1,4,Softmax,250,0.1,256,0.9810874704491725
1,4,Softmax,250,0.1,512,0.9810874704491725
1,4,Softmax,250,0.01,16,0.8912529550827423
1,4,Softmax,250,0.01,32,0.8794326241134752
1,4,Softmax,250,0.01,64,0.8723404255319149
1,4,Softmax,250,0.01,128,0.8652482269503546
1,4,Softmax,250,0.01,256,0.8817966903073287
1,4,Softmax,250,0.01,512,0.8888888888888888
1,4,Softmax,250,0.001,16,0.46099290780141844
1,4,Softmax,250,0.001,32,0.5437352245862884
1,4,Softmax,250,0.001,64,0.5508274231678487
1,4,Softmax,250,0.001,128,0.458628841607565
1,4,Softmax,250,0.001,256,0.5319148936170213
1,4,Softmax,250,0.001,512,0.524822695035461
1,4,Softmax,250,0.0001,16,0.2127659574468085
1,4,Softmax,250,0.0001,32,0.1536643026004728
1,4,Softmax,250,0.0001,64,0.13002364066193853
1,4,Softmax,250,0.0001,128,0.26004728132387706
1,4,Softmax,250,0.0001,256,0.25059101654846333
1,4,Softmax,250,0.0001,512,0.23877068557919623
1,4,ReLU,1,10.0,16,0.12293144208037825
1,4,ReLU,1,10.0,32,0.07092198581560284
1,4,ReLU,1,10.0,64,0.05673758865248227
1,4,ReLU,1,10.0,128,0.12056737588652482
1,4,ReLU,1,10.0,256,0.04491725768321513
1,4,ReLU,1,10.0,512,0.29314420803782504
1,4,ReLU,1,1.0,16,0.3049645390070922
1,4,ReLU,1,1.0,32,0.0591016548463357
1,4,ReLU,1,1.0,64,0.17966903073286053
1,4,ReLU,1,1.0,128,0.17494089834515367
1,4,ReLU,1,1.0,256,0.1607565011820331
1,4,ReLU,1,1.0,512,0.06855791962174941
1,4,ReLU,1,0.1,16,0.2765957446808511
1,4,ReLU,1,0.1,32,0.19148936170212766
1,4,ReLU,1,0.1,64,0.3947990543735225
1,4,ReLU,1,0.1,128,0.4066193853427896
1,4,ReLU,1,0.1,256,0.3120567375886525
1,4,ReLU,1,0.1,512,0.2576832151300236
